Name,Price,Market price,Location,Thumbnail,Images,Gear,Odometer,Fuel type,Car condition,Other features,Dealer name,Page link,Second Condition,Make,Model,Year of Manufacture,Color,Registered Car,Exchange Possible,Trim,Body,Drivetrain,Engine Size,Number of Cylinders,Horse Power,Seats,Interior Color,VIN Chassis number
Land Rover Range Rover Vogue 2021 Black,"₦ 58,000,000",,,https://pictures-nigeria.jijistatic.net/87492548_NjIwLTQ2NS04ODdiODE4YjVm.webp,https://pictures-nigeria.jijistatic.net/87492548_MTExLTgzLTg4N2I4MThiNWY.webp | https://pictures-nigeria.jijistatic.net/87492559_MTExLTgzLTE5NjQ0OTJlMGM.webp | https://pictures-nigeria.jijistatic.net/87492547_MTExLTgzLTFjNDk2NzQxNzA.webp | https://pictures-nigeria.jijistatic.net/87492557_MTExLTgzLWIyY2I0YTJiZmM.webp | https://pictures-nigeria.jijistatic.net/87492555_MTExLTgzLTA1ZTA5NmU2MDM.webp,Automatic,,,Foreign Used,,Wyatt1 Autos,https://jiji.ng/gwarinpa/cars/land-rover-range-rover-vogue-2021-black-qhEjmz7X04KY0FPpFyYjQ644.html,No faults,Land Rover,Range Rover Vogue,2021,Black,No,Yes,,,,,,,,,
Toyota Land Cruiser Prado 3.0 D-4D (190 Hp) 7 seats 2016 Black,"₦ 37,900,000",₦ 40 M ~ 58.95 M,,https://pictures-nigeria.jijistatic.net/64571739_20210327-125050_620x465.webp,https://pictures-nigeria.jijistatic.net/64571739_20210327-125050_111x83.webp | https://pictures-nigeria.jijistatic.net/64571744_20210327-125045_111x83.webp | https://pictures-nigeria.jijistatic.net/64571742_20210327-125032_111x83.webp | https://pictures-nigeria.jijistatic.net/64571740_20210327-125019_111x83.webp | https://pictures-nigeria.jijistatic.net/64571756_20210327-125335_111x83.webp,Automatic,36000 km,,Foreign Used,,Emeko Motors,https://jiji.ng/amuwo-odofin/cars/toyota-land-cruiser-prado-2016-3-0-d-4d-190-hp-7-seats-black-xhlvCFoPSpSK0v2eWaSnoBkh.html,No faults,Toyota,Land Cruiser Prado,2016,Black,No,,3.0 D-4D (190 Hp) 7 seats,SUV,All Wheel,3000           cc,4,190           hp,7,,
Lexus GX 460 Luxury 2015 Black,"₦ 48,880,000",₦ 45 M ~ 48 M,,https://i.ytimg.com/vi/uP1gJySDg5Y/sddefault.jpg,https://i.ytimg.com/vi/uP1gJySDg5Y/sddefault.jpg | https://pictures-nigeria.jijistatic.net/147708629_MTExLTgzLTkzZWJhMGE1MTg.webp | https://pictures-nigeria.jijistatic.net/147708628_MTExLTgzLWJkNGYxMGUxMjc.webp | https://pictures-nigeria.jijistatic.net/147708630_MTExLTgzLTI5N2UxMmUzYjU.webp | https://pictures-nigeria.jijistatic.net/147708627_MTExLTgzLTBkZjk3MDBiY2E.webp,Automatic,86489 km,Petrol,Foreign Used,,Global Motors Int'l Nig LTD,https://jiji.ng/victoria-island/cars/lexus-gx-460-luxury-2015-black-8KgboiuwQtunJnDtpXcd7Jz3.html,"Original parts, Unpainted, No faults",Lexus,GX,2015,Black,No,No,460 Luxury,SUV,4x4,4600           cc,8,301           hp,7,,
New Toyota Land Cruiser 2022 Black,"₦ 235,000,000",₦ 195.76 M ~ 235 M,,https://pictures-nigeria.jijistatic.net/106981527_NjIwLTQwNC1mYTRiYTc0NWRhLTE.webp,https://pictures-nigeria.jijistatic.net/106981527_MTExLTcyLWZhNGJhNzQ1ZGEtMQ.webp | https://pictures-nigeria.jijistatic.net/106981553_MTExLTc1LWZhYjZhYmNiMTUtMQ.webp | https://pictures-nigeria.jijistatic.net/106981554_MTExLTczLWY3NjQxYjVkN2EtMQ.webp | https://pictures-nigeria.jijistatic.net/106981555_MTExLTc0LWM4MDQyZDYyODktMQ.webp | https://pictures-nigeria.jijistatic.net/106981556_MTExLTc1LTE2ZTcxMjUwOWQtMQ.webp,Automatic,100 km,,Brand New,,Valres property & Autos,https://jiji.ng/victoria-island/cars/new-toyota-land-cruiser-2022-black-mdYDYdcPTgapqfWryKzdM3XN.html,No faults,Toyota,Land Cruiser,2022,Black,No,,,,,,,,,Other,
Lexus GS 350 2011 Red,"₦ 11,480,000",,,https://i.ytimg.com/vi/mP28Eu5nOp0/maxresdefault.jpg,https://i.ytimg.com/vi/mP28Eu5nOp0/maxresdefault.jpg | https://pictures-nigeria.jijistatic.net/150112875_MTExLTgzLTMxMGJjOWJjZTA.webp | https://pictures-nigeria.jijistatic.net/150112874_MTExLTgzLWFkNWE3MDFkNmY.webp | https://pictures-nigeria.jijistatic.net/150112871_MTExLTgzLTU4NjUyNjM1Yzk.webp | https://pictures-nigeria.jijistatic.net/150112876_MTExLTgzLWViNjc1YTM0OTQ.webp,Automatic,83649 km,Petrol,Foreign Used,Air Conditioning | AM/FM Radio | CD Player | Alloy Wheels | Airbags | Armrests,Global Motors Int'l Nig LTD,https://jiji.ng/lagos-abule-egba/cars/toyota-highlander-limited-v6-4x4-2006-silver-pCvZ5OUcZvP3hfTea72oNQOc.html,No faults,Lexus,GS,2011,Red,No,No,350,Sedan,Rear Wheel,3500           cc,6,307           hp,5,,
Lexus RX 350L 4WD 2020 Gray,"₦ 40,000,000",₦ 50 M ~ 65 M,,https://pictures-nigeria.jijistatic.net/81435516_NjIwLTgyNy1hZWY4Yjc3NzQx.webp,https://pictures-nigeria.jijistatic.net/81435516_MTExLTE0OC1hZWY4Yjc3NzQx.webp | https://pictures-nigeria.jijistatic.net/81435597_MTExLTE0OC05ZGY1ODQwZDdm.webp | https://pictures-nigeria.jijistatic.net/81435466_MTExLTE0OC04ZmIwMTE2N2Fk.webp | https://pictures-nigeria.jijistatic.net/81435465_MTExLTE0OC05NGJhNjMyMmIx.webp | https://pictures-nigeria.jijistatic.net/81435506_MTExLTE0OC0wMTI0YzY4NDA1.webp,Automatic,32800 km,Petrol,Foreign Used,,Onuko Ezeh,https://jiji.ng/central-business-district/cars/lexus-rx-350l-4wd-2020-gray-1eOtj77dXMNH91yTJWVXDJTq.html,"Unpainted, Original parts, No faults",Lexus,RX,2020,Gray,No,,350L 4WD,SUV,All Wheel,3500           cc,6,295           hp,7,,3N1AB7AP7NH******
New Toyota Hilux 2021 White,"₦ 35,550,000",,,https://pictures-nigeria.jijistatic.net/89854709_NjIwLTgyNy1kZDA3ZTc1MDg3.webp,https://pictures-nigeria.jijistatic.net/89854709_MTExLTE0OC1kZDA3ZTc1MDg3.webp | https://pictures-nigeria.jijistatic.net/89854710_MTExLTgzLTg4MzIzY2YxZDE.webp | https://pictures-nigeria.jijistatic.net/89854716_MTExLTgzLWMwYjE2MjljZjU.webp | https://pictures-nigeria.jijistatic.net/89854705_MTExLTE0OC1hNGZhZDM2ZWY0.webp | https://pictures-nigeria.jijistatic.net/89854707_MTExLTE0OC1iMGVlMzU3Nzk0.webp,Manual,,,Brand New,,Wyatt1 Autos,https://jiji.ng/gwarinpa/cars/new-toyota-hilux-2021-white-dJLulFzKmW2NRINGfYbsa5ki.html,No faults,Toyota,Hilux,2021,White,,,Revo Double Cab Petrol 2.7 AWD,,,,,,,,
Lexus RX 350 FWD 2017 Black,"₦ 35,000,000",₦ 42.78 M ~ 46.5 M,,https://pictures-nigeria.jijistatic.net/68317507_NjIwLTQ2NS1iZTY4YWE1NWIw.webp,https://pictures-nigeria.jijistatic.net/68317507_MTExLTgzLWJlNjhhYTU1YjA.webp | https://pictures-nigeria.jijistatic.net/68317508_MTExLTgzLTZkZWUyYThmNTI.webp | https://pictures-nigeria.jijistatic.net/68317509_MTExLTgzLWNlMDU5YjFmZDg.webp | https://pictures-nigeria.jijistatic.net/68317511_MTExLTgzLTkxNTYxNWQ1NjE.webp | https://pictures-nigeria.jijistatic.net/68317510_MTExLTgzLWY1NDJjYWIxNzA.webp,Automatic,47000 km,Petrol,Foreign Used,,Onuko Ezeh,https://jiji.ng/central-business-district/cars/lexus-rx-350-fwd-2017-black-ij9zrlFnnuijydJe2EPPKyN0.html,,Lexus,RX,2017,Black,No,,350 FWD,SUV,Front Wheel,3500           cc,6,295           hp,5,,3N1AB7AP7HY******
Lexus GX 460 Premium 2013 White,"₦ 30,000,000",₦ 32.91 M ~ 35.95 M,,https://pictures-nigeria.jijistatic.net/107813919_NjIwLTQ2NS03Nzk2ZjM3NGQ0.webp,https://pictures-nigeria.jijistatic.net/107813919_MTExLTgzLTc3OTZmMzc0ZDQ.webp | https://pictures-nigeria.jijistatic.net/107813921_MTExLTgzLTY2ZDE3NjgyY2I.webp | https://pictures-nigeria.jijistatic.net/107813934_MTExLTgzLTIzYWMyNTUxNGE.webp | https://pictures-nigeria.jijistatic.net/107813920_MTExLTgzLTQxNGI0ZWIzNjY.webp | https://pictures-nigeria.jijistatic.net/107813927_MTExLTgzLTI2NzA3YjUxY2E.webp,Automatic,,Petrol,Foreign Used,,GRANT AUTO GROUP,https://jiji.ng/apapa/cars/lexus-gx-460-premium-2013-white-aQttsP9nRtUhHjmAUtXL6ccz.html,"No faults, Unpainted",Lexus,GX,2013,White,No,,460 Premium,SUV,,4600           cc,8,301           hp,7,,
Toyota Highlander 2008 Silver,"₦ 12,000,000",₦ 13 M ~ 14.2 M,,https://pictures-nigeria.jijistatic.net/109871007_NjIwLTQ2NS01YmM5ZmY2MWVi.webp,https://pictures-nigeria.jijistatic.net/109871007_MTExLTgzLTViYzlmZjYxZWI.webp | https://pictures-nigeria.jijistatic.net/109870996_MTExLTgzLTZmMTI3NWY5YTg.webp | https://pictures-nigeria.jijistatic.net/109870995_MTExLTgzLTQ3ZDgzYjdlMDU.webp | https://pictures-nigeria.jijistatic.net/109871000_MTExLTgzLTcyNzg4OTlkZDQ.webp | https://pictures-nigeria.jijistatic.net/109871002_MTExLTgzLTNjZjE0ZGYyZjA.webp,Automatic,100858 km,,Foreign Used,,Focus Auto and real estate limited,https://jiji.ng/isolo/cars/toyota-highlander-2008-silver-uQz99fo44rglgMR8HioKa8q9.html,,Toyota,Highlander,2008,Silver,No,,,,,,,,,,
